2016/3/21 19:45,17.76 
2016/3/21 20:00,17.39 
2016/3/21 20:15,16.70 
2016/3/21 20:30,16.26 
2016/3/21 20:45,16.12 
2016/3/21 21:00,14.70 
2016/3/21 21:15,11.49 
2016/3/21 21:30,9.01 
2016/3/21 21:45,8.91 
2016/3/21 22:00,9.18 
2016/3/21 22:15,8.90 
2016/3/21 22:30,8.37 
2016/3/21 22:45,7.59 
2016/3/21 23:00,6.63 
2016/3/21 23:15,5.82 
2016/3/21 23:30,5.43 
2016/3/21 23:45,4.56 
2016/3/22 0:00,3.24 
2016/3/22 0:15,2.48 
2016/3/22 0:30,2.35 
2016/3/22 0:45,2.40 
2016/3/22 1:00,2.74 
2016/3/22 1:15,3.23 
2016/3/22 1:30,3.62 
2016/3/22 1:45,3.73 
2016/3/22 2:00,3.58 
2016/3/22 2:15,3.19 
2016/3/22 2:30,2.85 
2016/3/22 2:45,2.72 
2016/3/22 3:00,2.53 
2016/3/22 3:15,2.14 
2016/3/22 3:30,1.65 
2016/3/22 3:45,1.46 
2016/3/22 4:00,1.31 
2016/3/22 4:15,1.08 
2016/3/22 4:30,0.92 
2016/3/22 4:45,0.83 
2016/3/22 5:00,0.85 
2016/3/22 5:15,0.70 
2016/3/22 5:30,0.71 
2016/3/22 5:45,1.09 
2016/3/22 6:00,1.46 
2016/3/22 6:15,1.62 
2016/3/22 6:30,1.71 
2016/3/22 6:45,1.81 
2016/3/22 7:00,1.81 
2016/3/22 7:15,1.75 
2016/3/22 7:30,1.73 
2016/3/22 7:45,1.53 
2016/3/22 8:00,1.11 
2016/3/22 8:15,0.79 
2016/3/22 8:30,0.59 
2016/3/22 8:45,0.52 
2016/3/22 9:00,0.44 
2016/3/22 9:15,0.36 
2016/3/22 9:30,0.42 
2016/3/22 9:45,0.43 
2016/3/22 10:00,0.56 
2016/3/22 10:15,0.75 
2016/3/22 10:30,0.76 
2016/3/22 10:45,0.89 
2016/3/22 11:00,1.14 
2016/3/22 11:15,1.41 
2016/3/22 11:30,1.83 
2016/3/22 11:45,2.51 
